label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
0	530 mph	0.8411	iRVINE	Moreno Valley, Fresno	-1.3331	751	904	nATURAL lANGUAGE pROCESSING, bIOENGINEERING	570 kg	19	-187	1.1201	842 kg
1	459 mph	-0.8458	Bakersfield	Irvine, Oakland, Long Beach	-0.401	188	-466	Biotechnology, Electrical Engineering	1260 kg	-345	183	2.329	264 kg
0	1185 mph	0.4134	Irvine	Fresno	0.883	2344	138	Bioengineering, Natural Language Processing	744 kg	481	3214	-0.5341	1349 kg
2	1764 mph	0.4804	San Diego	Stockton, Sacramento, Santa Ana	-0.2813	1203	102	Computer Science	-846 kg	1444	1616	0.5207	156 kg
5	873 mph	-2.1582	San Bernardino	Bakersfield	2.2857	-13	-428	Computational Media, Applied Mathematics	506 kg	138	-196	-0.3702	268 kg
5	1070 mph	0.415	San Diego	Bakersfield	0.8185	-279	-2420	Data Science	706 kg	178	-1298	0.8256	813 kg
4	319 mph	1.8267	Oakland	San Diego	1.4998	316	595	Robotics Engineering	958 kg	-46	440	-0.6033	-1201 kg
5	1434 mph	0.4942	Moreno Valley	Chula Vista	1.4837	-571	-75	Technology and Information Management	-570 kg	-107	-347	1.6944	1237 kg
5	1848 mph	0.4465	Moreno Valley	Bakersfield, San Francisco	0.8628	1585	-563	Computational Media, Applied Mathematics	-1055 kg	608	-1082	1.1914	-1506 kg
3	435 mph	0.6082	Riverside	Oakland	0.0772	-411	-592	Computer Engineering	-340 kg	1182	54	1.8092	308 kg
1	-313 mph	-0.1067		Oakland, Irvine	-1.2968	697	1494	Computer Game Design, Electrical Engineering, Data Science	659 kg	435	775	0.8394	-819 kg
4	1943 mph	2.0177	Anaheim	San Diego	2.0254	790	1496	None	2085 kg	746	-375	2.0931	1711 kg
4	2059 mph	0.2625	Anaheim	San Diego	0.4767	-334	-491	NULL	203 kg	1772	793	-0.1475	913 kg
3	340 mph	-0.506	Los Angeles	Anaheim	0.637	559	-168	Computer Engineering	933 kg	140	-1163	1.8138	258 kg
0	526 mph	1.985	Chula Vista	Anaheim	1.7408	-394	-257	Natural Language Processing	-265 kg	653	-409	-0.1466	1186 kg
3	-262 mph	2.1785	Los Angeles	Fremont	-1.4684	1742	-1753	Computer Engineering	27 kg	690	580	1.2829	226 kg
3	620 mph	1.2032	Los Angeles	Anaheim	1.7742	204	156	Natural Language Processing	336 kg	916	142	0.0337	1007 kg
0	466 mph	1.1384	Irvine	Fresno	-1.5399	2266	841	Natural Language Processing	-872 kg	1651	-1949	0.5483	564 kg
3	121 mph	1.4405	Riverside	Anaheim	-0.1549	-147	-1177	Computer Engineering	2319 kg	417	-1	1.2952	1695 kg
3	-471 mph	0.9827	LOS ANGELES	Fremont	-0.0242	-1055	45	Computer Engineering	288 kg	641	822	0.8723	-603 kg
